Per Capita Crime,Durham,North Yorkshire,South Yorkshire,GreaterManchester,Cheshire,Lancashire,Derbyshire,Leicestershire,Lincolnshire,Warwickshire,West Midlands,Essex,Hertfordshire,Suffolk,Metropolitan and City,Thames Valley,Hampshire,Kent,Gloucestershire,Dorset,,,,,
Burglary,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-14,3.758969505,3.618286822,5.84763807,5.345498323,6.727259208,9.076682658,2.640697848,1.164048453,3.159350889,4.971414367,5.47032686,3.835178633,2.738836843,4.071771764,4.56770768,2.751332551,2.800778946,5.347564502,5.284295075,8.474899467,,,,,
Feb-14,2.684978218,4.020318691,4.5863828,4.890562295,4.425828427,6.561457343,1.980523386,0.895421887,5.416030095,1.754616836,4.060448804,3.01335464,2.054127633,3.845562221,4.224271013,2.885543895,3.212658203,3.897377518,2.906362291,8.89864444,,,,,
Mar-14,3.893218416,5.025398363,3.55444667,5.686700343,3.540662741,10.60768937,2.127228822,1.432675019,3.385018809,2.631925253,4.793585393,3.378609748,4.108255265,3.393143136,3.794975178,2.818438223,2.883154797,2.447190535,5.548509829,6.779919573,,,,,
Apr-14,4.027467327,1.206095607,5.04502108,4.947429299,4.602861564,6.889530211,2.273934258,2.328096906,4.513358413,2.924361393,5.075561005,3.561237302,3.971313423,3.166933594,3.846490678,2.684226879,3.130282351,3.988014205,3.434791799,7.62740952,,,,,
May-14,2.684978218,4.020318691,3.78376581,4.492493271,6.01912666,6.124026854,1.613759796,2.507181284,5.641698016,2.631925253,5.47032686,3.652551079,2.875778686,1.131047712,3.640428678,3.221072255,4.118792568,4.713107696,3.434791799,6.3561746,,,,,
Jun-14,2.282231485,5.628446167,6.07695721,4.947429299,6.196159797,7.873748812,0.953585334,2.417639095,6.093033857,2.339489114,3.101731725,2.830727086,2.464953159,2.262095424,3.880834345,3.556600615,2.636027243,4.985017756,1.585288523,5.932429627,,,,,
Jul-14,2.819227129,4.623366494,5.61831893,5.45923233,3.540662741,5.46788112,3.300872311,2.149012529,4.287690492,4.678978228,5.69590735,4.20043374,4.519080792,3.619352679,4.499020347,2.952649567,2.883154797,4.62247101,3.963221306,10.59362433,,,,,
Aug-14,3.221973862,5.829462101,4.24240409,6.255370378,2.478463919,7.108245455,1.687112514,1.880385963,1.805343365,1.462180696,4.511609782,3.652551079,5.340731845,4.297981306,4.069724512,5.032925398,1.894644581,2.628463908,1.321073769,5.932429627,,,,,
Sep-14,2.550729307,3.618286822,5.7329785,4.378759264,6.373192934,8.092464057,1.246996206,2.328096906,4.739026333,3.509233671,4.793585393,3.469923525,2.054127633,2.035885882,3.674772344,2.415804191,3.0479065,4.531834323,1.849503276,7.62740952,,,,,
